A	0	3
A	1	9
A	2	4
A	3	3
A	4	3
A	5	10
A	6	5
A	7	7
A	8	3
A	9	7
X	9	6
X	0	2
X	7	0
X	2	3
X	8	2
X	5	7
X	2	3
X	2	2
X	3	1
X	3	0
X	3	1
X	6	4
X	5	9
X	0	2
X	1	0
X	4	2
X	8	0
X	7	4
X	1	8
X	8	2
X	0	1
X	0	2
X	0	0
X	9	3
X	4	0
X	0	1
X	6	1
X	3	2
X	0	1
X	7	2
X	0	1
X	1	4
X	6	3
X	7	2
X	1	1
X	2	2
X	6	2
X	0	0
X	3	1
X	5	7
X	4	2
X	6	1
X	5	9
X	6	2
X	7	5
X	8	2
X	3	0
X	2	1
X	5	2
X	4	1
X	1	2
X	5	8
X	0	2
X	4	1
X	3	0
X	3	2
X	0	1
X	9	0
X	4	0
X	0	2
X	9	6
X	5	4
X	8	2
X	6	3
X	0	0
X	4	1
X	2	1
X	1	6
X	2	3
X	9	0
X	1	3
X	5	9
X	3	2
X	5	4
X	2	3
X	0	1
X	5	0
X	6	1
X	2	1
X	2	1
X	0	1
X	8	1
X	0	0
X	7	5
X	7	5
X	5	2
X	9	2
X	8	2
X	4	1
X	7	4
X	9	0
X	1	2
X	4	0
X	6	0
X	9	3
X	2	2
X	2	3
X	0	1
X	1	3
X	0	0
X	1	3
X	7	5
X	9	3
X	5	3
X	5	0
X	5	0
X	9	2
X	7	1
X	1	7
X	5	3
X	7	5
X	7	5
X	9	3
X	5	3
X	2	2
X	7	1
X	2	2
X	7	6
X	9	6
X	5	9
X	6	3
X	6	3
X	1	7
X	3	0
X	4	0
X	1	7
X	3	2
X	6	4
X	5	4
X	6	3
X	9	3
X	5	2
X	6	4
X	4	0
X	7	6
X	7	5
X	5	8
X	1	5
X	5	4
X	8	2
X	2	1
X	9	3
X	3	1
X	6	1
X	3	2
X	9	3
X	4	1
X	8	0
X	0	2
X	6	2
X	8	2
X	1	5
X	0	2
X	5	9
X	5	3
X	7	4
X	8	1
X	8	2
X	9	1
X	8	1
X	5	9
X	8	2
X	2	2
X	1	3
X	3	2
X	4	1
X	3	2
X	6	1
X	5	1
X	7	1
X	6	2
X	7	0
X	4	0
X	2	1
X	7	2
X	5	0
X	6	2
X	6	4
X	7	1
X	3	0
X	6	1
X	1	4
X	6	2
X	3	1
X	0	0
X	1	5
X	8	0
X	0	1
X	3	0
X	2	2
X	8	2
X	8	2
X	3	0
X	1	8
X	1	8
X	1	0
X	7	5
X	3	2
X	9	4
X	7	4
X	8	0
X	4	1
X	7	3
X	7	5
X	6	1
X	2	1
X	3	1
X	1	3
X	0	0
X	9	3
X	8	1
X	2	1
X	9	1
X	2	3
X	4	1
X	5	1
F	8	1
F	1	0
F	7	2
F	8	2
F	3	2
F	9	2
F	3	0
F	9	5
F	8	0
F	2	2
F	6	0
F	6	2
F	3	1
F	9	6
X	7	5
X	6	3
X	6	1
X	7	5
X	4	0
X	6	4
X	2	3
X	0	0
X	5	8
X	0	1
X	1	2
X	7	3
X	6	3
X	5	3
X	7	0
X	1	5
X	5	6
X	9	3
X	1	7
X	2	0
X	9	1
X	5	3
X	4	2
X	7	3
X	4	2
X	1	6
X	0	2
X	1	1
X	0	2
X	7	6
X	4	2
X	5	2
X	5	7
X	1	5
X	6	4
X	0	2
X	4	2
X	7	3
X	7	0
X	0	1
A	10	8
A	11	5
A	12	3
A	13	5
A	14	10
A	15	8
A	16	5
A	17	2
A	18	8
A	19	5
A	20	4
A	21	3
A	22	10
A	23	7
A	24	10
A	25	1
A	26	6
A	27	1
A	28	9
A	29	8
A	30	6
A	31	3
A	32	3
A	33	8
A	34	3
A	35	2
A	36	3
A	37	9
A	38	2
A	39	6
A	40	4
A	41	8
A	42	2
A	43	9
A	44	2
A	45	4
A	46	9
A	47	7
A	48	7
A	49	1
A	50	7
A	51	7
A	52	3
A	53	3
A	54	9
A	55	3
A	56	9
A	57	5
A	58	1
A	59	10
A	60	6
A	61	8
A	62	2
A	63	7
A	64	3
A	65	6
A	66	6
A	67	3
A	68	7
A	69	2
A	70	10
A	71	3
A	72	10
A	73	1
A	74	1
A	75	4
A	76	8
A	77	10
X	42	0
X	7	1
X	2	1
X	12	0
X	17	1
X	22	3
X	54	4
X	74	0
X	69	1
X	40	3
X	59	7
X	25	0
X	14	0
X	46	8
X	61	2
X	68	3
X	1	2
X	46	7
X	11	3
X	33	0
X	43	7
X	5	1
X	46	3
X	16	0
X	25	0
X	1	5
X	44	0
X	19	1
X	12	1
X	13	3
X	7	1
X	2	3
X	56	6
X	24	2
X	5	8
X	27	0
X	74	0
X	56	0
X	9	3
X	69	1
X	70	1
X	67	1
X	67	0
X	10	4
X	62	0
X	62	0
X	4	1
X	58	0
X	57	2
X	17	0
X	68	3
X	32	1
X	54	3
X	69	1
X	13	3
X	57	1
X	4	1
X	22	3
X	48	0
X	47	6
X	44	0
X	20	0
X	66	1
X	72	3
X	12	1
X	55	2
X	2	0
X	72	9
X	25	0
X	34	1
X	46	6
X	54	3
X	68	1
X	50	3
X	39	0
X	10	3
X	23	1
X	15	4
X	40	2
X	46	1
X	1	1
X	50	6
